Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
brandi-cottonlog-16148777,"(데일리) 또다른 매력, 크롭 골지 라운드 긴팔 가디건_코튼로그","<div><br>
<br>
<br>
<br>
<br>
<span style=""font-size:8px""><em>*사이즈는 측정 방법에 따라 1~5cm 정도의 차이가 있을 수 있습니다 &nbsp;<br>
*모든 의류의 첫 세탁은 드라이크리닝 권장 합니다.&nbsp;<br>
*모니터의 해상도의 따라 실제 제품의 색상과 차이가 있을 수 있습니다.&nbsp;&nbsp;<br>
*빛의 각도에따라 색깔이 달라 보일 수 있습니다.</em></span><br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<span style=""font-size:12px""><strong>MODEL SIZE</strong><br>
<br>
height 158cm weight 42kg top&nbsp;44 bottom 25<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<strong>COMMENT</strong><br>
<br>
<br>
데일리한 디자인에 크롭한 길이감을 더하여<br>
모든 룩에 은은한 포인트가 되어주는<br>
또다른 매력, 크롭 골지 라운드 긴팔 가디건을 소개해 드려요 !<br>
<br>
목선과 쇄골을 아름답게 연출해주는&nbsp;<br>
적당한 라운드 네크라인에<br>
밋밋함을 덜어주는 전체적인 골지 디자인으로 제작되어<br>
시즌내내 데일리하게 활용하기 좋으며,<br>
차르르 떨어지는 스탠다드한 핏감 및 크롭한 기장감은<br>
편안한 착용감과 더불어<br>
모든 룩에 캐주얼한듯 은은한 포인트가 되어주어<br>
별다른 아이템 없이도 매력적인 룩을 완성 하실 수 있답니다. :)<br>
<br>
데일리룩, 데이트룩, 캠퍼스룩, 캐주얼룩, 등의<br>
데일리 상의 아이템으로 적극 추천드려요 ♡<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<img src=""https://image.brandi.me/cproductdetail/2020/05/08/f6c7976f2bd2feb9be83e2dc3e88ef3c.jpg"" title=""product detail image""><br>
<img src=""https://image.brandi.me/cproductdetail/2020/05/08/c18c600c879c14db780fc011f8b88571.jpg"" title=""product detail image""><br>
<br>
<br>
<br>
<br>
&nbsp;<br>
<br>
<strong>fabric /</strong>&nbsp;폴리65%+면35%<br>
<strong>size /</strong>&nbsp;free<br>
<strong>color /</strong>&nbsp;아이보리,연두,연보라,블랙<br>
(색상은 상세사진 하단 순서와 같아요♡)</span><br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<span style=""font-size:8px"">제조사 / 코튼로그 제휴업체(도매)<br>
제조국 / 대한민국<br>
제조년월 / 2020.05 이후<br>
세탁방법 / 드라이크리닝 필수권장<br>
품질보증기준 / 전자상거래 소비자 보호법에 규정되어 있는 소비자 청약 철회 가능 범위를 준수합니다.</span><br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<span style=""font-size:12px""><img alt="""" src=""https://image.brandi.me/cproductdetail/2019/11/07/a6e7f650942cc82a0f9ae4424fa78f15.jpg""></span></div>
<div class=""brandiProductInfoTitle"">PRODUCT INFO</div><div class=""brandiSizeInfoImage""><img src=""https://image.brandi.me/category/image/img_product_cardigan.jpg""></div><div class=""brandiProductInfoTxt"">(단면/CM)</div><div class=""brandiProductSizeInfoBox""><table class=""brandiProductSizeInfo""><thead><tr><td class=""brandiProductInfoHeader"">사이즈</td><td class=""brandiProductInfoHeader"">총장</td><td class=""brandiProductInfoHeader"">어깨</td><td class=""brandiProductInfoHeader"">가슴</td><td class=""brandiProductInfoHeader"">소매길이</td><td class=""brandiProductInfoHeader"">소매</td><td class=""brandiProductInfoHeader"">암홀</td><td class=""brandiProductInfoHeader"">밑단</td></tr></thead><tbody><tr><td class=""brandiSelectedTxt"">free</td><td class="""">38</td><td class="""">46</td><td class="""">42</td><td class="""">54</td><td class="""">12</td><td class="""">16</td><td class="""">42</td></tr></tbody></table></div><table class=""brandiProductEtcInfo""><tbody><tr><td class=""brandiSelectedTxt"">안감</td><td class="""">있음</td><td class=""brandiSelectedTxt"">없음</td><td class="""">기모</td></tr><tr><td class=""brandiSelectedTxt"">신축성</td><td class="""">좋음</td><td class=""brandiSelectedTxt"">보통</td><td class="""">없음</td></tr><tr><td class=""brandiSelectedTxt"">비침</td><td class="""">없음</td><td class=""brandiSelectedTxt"">약간</td><td class="""">있음</td></tr><tr><td class=""brandiSelectedTxt"">촉감</td><td class="""">부드러움</td><td class=""brandiSelectedTxt"">보통</td><td class="""">까실함</td></tr><tr><td class=""brandiSelectedTxt"">두께감</td><td class="""">도톰</td><td class=""brandiSelectedTxt"">보통</td><td class="""">얇음</td></tr></tbody></table>",cottonlog,Brandi,"_tab_quadpay, _tab_shipping-information,outer",false,[색상],아이보리,[사이즈],free,,,"cottonlog-(데일리) 또다른 매력, 크롭 골지 라운드 긴팔 가디건_코튼로그-16148777-아이보리",0,shopify,50,deny,manual,cottonlog|Brandi|outer|https://www.brandi.co.kr/products/16148777,,true,true,,http://aminoko.cafe24.com/brandifile/title-16148777-1.jpg,4,,false,,,,,,,,,,,,,,,,,,,13.7
brandi-cottonlog-16148777,,,,,,,,연두,,free,,,"cottonlog-(데일리) 또다른 매력, 크롭 골지 라운드 긴팔 가디건_코튼로그-16148777-연두",0,shopify,50,deny,manual,cottonlog|Brandi|outer|https://www.brandi.co.kr/products/16148777,,true,true,,http://aminoko.cafe24.com/brandifile/title-16148777-2.jpg,,,,,,,,,,,,,,,,,,,,,,13.7
brandi-cottonlog-16148777,,,,,,,,연보라,,free,,,"cottonlog-(데일리) 또다른 매력, 크롭 골지 라운드 긴팔 가디건_코튼로그-16148777-연보라",0,shopify,50,deny,manual,cottonlog|Brandi|outer|https://www.brandi.co.kr/products/16148777,,true,true,,http://aminoko.cafe24.com/brandifile/title-16148777-3.jpg,,,,,,,,,,,,,,,,,,,,,,13.7
brandi-cottonlog-16148777,,,,,,,,블랙,,free,,,"cottonlog-(데일리) 또다른 매력, 크롭 골지 라운드 긴팔 가디건_코튼로그-16148777-블랙",0,shopify,50,deny,manual,cottonlog|Brandi|outer|https://www.brandi.co.kr/products/16148777,,true,true,,http://aminoko.cafe24.com/brandifile/title-16148777-4.jpg,,,,,,,,,,,,,,,,,,,,,,13.7
brandi-cottonlog-16108935,(데일리) 여름까지 쭉 입기 좋은 반팔 숏자켓_코튼로그,"<div><br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<span style=""font-size:8px""><em>*사이즈는 측정 방법에 따라 1~5cm 정도의 차이가 있을 수 있습니다 &nbsp;<br>
*모든 의류의 첫 세탁은 드라이크리닝 권장 합니다.&nbsp;<br>
*모니터의 해상도의 따라 실제 제품의 색상과 차이가 있을 수 있습니다.&nbsp;&nbsp;<br>
*빛의 각도에따라 색깔이 달라 보일 수 있습니다.</em></span><br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<span style=""font-size:12px""><strong>MODEL SIZE</strong><br>
<br>
height 158cm weight 42kg top&nbsp;44 bottom 25<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<strong>COMMENT</strong><br>
<br>
<br>
데일리한 디자인으로 제작되어<br>
매시즌 트랜드에 구애 없이 활용도 높게 착용 할 수 있는<br>
여름까지 쭉 입기 좋은 반팔 숏자켓을 소개해 드려요 !<br>
<br>
트랜드에 구애 없이 즐기기 좋은 카라넥 디자인에<br>
탄탄한듯 가벼운 적당한 면소재감으로 제작되어<br>
하나쯤 소장하면 매 시즌<br>
활용도 높게 착용 하실 수 있으며,<br>
적당히 여유있는 핏감 및 크롭한 기장감은<br>
편안한 착용감과 더불어<br>
모든 룩에 캐주얼한듯 데일리한 포인트가 되어주어<br>
별다른 아이템 없이도 매력적인 룩을 완성 하실 수 있답니다. :)<br>
<br>
호불호 없이 초이스 하기 좋은<br>
4가지 데일리 컬러감으로 준비했어요 ♡<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<img src=""https://image.brandi.me/cproductdetail/2020/05/07/a02df1f1e0365ee8fb9e86caef3edaad.jpg"" title=""product detail image""><br>
<img src=""https://image.brandi.me/cproductdetail/2020/05/08/5dd4aabd2834835d8fa91751a9e3538f.jpg"" title=""product detail image""><br>
<br>
<br>
&nbsp;<br>
<br>
<br>
<br>
<br>
<strong>fabric / </strong>면100%<br>
<strong>size /</strong>&nbsp;free<br>
<strong>color /</strong>&nbsp;아이보리,베이지,카키,블랙<br>
(색상은 상세사진 하단 순서와 같아요♡)</span><br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<span style=""font-size:8px"">제조사 / 코튼로그 제휴업체(도매)<br>
제조국 / 대한민국<br>
제조년월 / 2020.05 이후<br>
세탁방법 / 드라이크리닝 필수권장<br>
품질보증기준 / 전자상거래 소비자 보호법에 규정되어 있는 소비자 청약 철회 가능 범위를 준수합니다.</span><br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<span style=""font-size:12px""><img alt="""" src=""https://image.brandi.me/cproductdetail/2019/11/07/a6e7f650942cc82a0f9ae4424fa78f15.jpg""></span></div>
<div class=""brandiProductInfoTitle"">PRODUCT INFO</div><div class=""brandiSizeInfoImage""><img src=""https://image.brandi.me/category/image/img_product_jacket.jpg""></div><div class=""brandiProductInfoTxt"">(단면/CM)</div><div class=""brandiProductSizeInfoBox""><table class=""brandiProductSizeInfo""><thead><tr><td class=""brandiProductInfoHeader"">사이즈</td><td class=""brandiProductInfoHeader"">총장</td><td class=""brandiProductInfoHeader"">어깨</td><td class=""brandiProductInfoHeader"">가슴</td><td class=""brandiProductInfoHeader"">소매길이</td><td class=""brandiProductInfoHeader"">소매</td><td class=""brandiProductInfoHeader"">암홀</td><td class=""brandiProductInfoHeader"">밑단</td></tr></thead><tbody><tr><td class=""brandiSelectedTxt"">free</td><td class="""">47</td><td class="""">49</td><td class="""">50</td><td class="""">22</td><td class="""">17</td><td class="""">20</td><td class="""">51</td></tr></tbody></table></div><table class=""brandiProductEtcInfo""><tbody><tr><td class=""brandiSelectedTxt"">안감</td><td class="""">있음</td><td class=""brandiSelectedTxt"">없음</td><td class="""">기모</td></tr><tr><td class=""brandiSelectedTxt"">촉감</td><td class="""">부드러움</td><td class=""brandiSelectedTxt"">보통</td><td class="""">까실함</td></tr><tr><td class=""brandiSelectedTxt"">핏감</td><td class="""">타이트</td><td class=""brandiSelectedTxt"">정사이즈</td><td class="""">루즈</td></tr><tr><td class=""brandiSelectedTxt"">두께감</td><td class="""">도톰</td><td class=""brandiSelectedTxt"">보통</td><td class="""">얇음</td></tr></tbody></table>",cottonlog,Brandi,"_tab_quadpay, _tab_shipping-information,outer",false,[색상],아이보리,[사이즈],free,,,cottonlog-(데일리) 여름까지 쭉 입기 좋은 반팔 숏자켓_코튼로그-16108935-아이보리,0,shopify,50,deny,manual,cottonlog|Brandi|outer|https://www.brandi.co.kr/products/16108935,,true,true,,http://aminoko.cafe24.com/brandifile/title-16108935-1.jpg,4,,false,,,,,,,,,,,,,,,,,,,14.7
brandi-cottonlog-16108935,,,,,,,,베이지,,free,,,cottonlog-(데일리) 여름까지 쭉 입기 좋은 반팔 숏자켓_코튼로그-16108935-베이지,0,shopify,50,deny,manual,cottonlog|Brandi|outer|https://www.brandi.co.kr/products/16108935,,true,true,,http://aminoko.cafe24.com/brandifile/title-16108935-2.jpg,,,,,,,,,,,,,,,,,,,,,,14.7
brandi-cottonlog-16108935,,,,,,,,카키,,free,,,cottonlog-(데일리) 여름까지 쭉 입기 좋은 반팔 숏자켓_코튼로그-16108935-카키,0,shopify,50,deny,manual,cottonlog|Brandi|outer|https://www.brandi.co.kr/products/16108935,,true,true,,http://aminoko.cafe24.com/brandifile/title-16108935-3.jpg,,,,,,,,,,,,,,,,,,,,,,14.7
brandi-cottonlog-16108935,,,,,,,,블랙,,free,,,cottonlog-(데일리) 여름까지 쭉 입기 좋은 반팔 숏자켓_코튼로그-16108935-블랙,0,shopify,50,deny,manual,cottonlog|Brandi|outer|https://www.brandi.co.kr/products/16108935,,true,true,,http://aminoko.cafe24.com/brandifile/title-16108935-4.jpg,,,,,,,,,,,,,,,,,,,,,,14.7
brandi-cottonlog-16105775,(데일리) 탄탄한 스티치 코튼 반팔 자켓_코튼로그,"<div><br>
<br>
<br>
<span style=""font-size:12px"">.</span><br>
<br>
<br>
<span style=""font-size:8px""><em>*사이즈는 측정 방법에 따라 1~5cm 정도의 차이가 있을 수 있습니다 &nbsp;<br>
*모든 의류의 첫 세탁은 드라이크리닝 권장 합니다.&nbsp;<br>
*모니터의 해상도의 따라 실제 제품의 색상과 차이가 있을 수 있습니다.&nbsp;&nbsp;<br>
*빛의 각도에따라 색깔이 달라 보일 수 있습니다.</em></span><br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<span style=""font-size:12px""><strong>MODEL SIZE</strong><br>
<br>
height 158cm weight 42kg top&nbsp;44 bottom 25<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<strong>COMMENT</strong><br>
<br>
<br>
데일리한 디자인으로 제작되어<br>
매시즌 트랜드에 구애 없이 활용도 높게 착용 할 수 있는<br>
탄탄한 스티치 코튼 반팔 자켓 소개해 드려요 !<br>
<br>
어디에나 툭 걸치기 좋은 카라넥 디자인에<br>
탄탄함이 느껴지는 적당한 면 소재감으로 제작되어<br>
하나쯤 소장하면 매 시즌<br>
활용도 높게 착용 하실 수 있으며,<br>
적당히 여유있는 스탠다드한 핏감 및<br>
스티치 디테일은 모든 룩에<br>
캐주얼한듯 데일리한 포인트가 되어주어<br>
별다른 아이템 없이도 매력적인 룩을 완성 하실 수 있답니다. :)<br>
<br>
이지한 스타일링을 도와주는<br>
4가지 데일리 컬러감으로 준비했어요 ♡<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<img src=""https://image.brandi.me/cproductdetail/2020/05/07/4a183290c5702dbdfe0c4c81843274f9.jpg"" title=""product detail image""><br>
<img src=""https://image.brandi.me/cproductdetail/2020/05/08/bb3c95402c1c97e8a598f4518de860f9.jpg"" title=""product detail image""><br>
<br>
<br>
<br>
<br>
&nbsp;<br>
<br>
<strong>fabric /</strong>&nbsp;면100%<br>
<strong>size /</strong>&nbsp;free<br>
<strong>color /</strong>&nbsp;크림,베이지,브라운,블랙<br>
(색상은 상세사진 하단 순서와 같아요♡)</span><br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<span style=""font-size:8px"">제조사 / 코튼로그 제휴업체(도매)<br>
제조국 / 대한민국<br>
제조년월 / 2020.05 이후<br>
세탁방법 / 드라이크리닝 필수권장<br>
품질보증기준 / 전자상거래 소비자 보호법에 규정되어 있는 소비자 청약 철회 가능 범위를 준수합니다.</span><br>
<br>
<br>
<br>
<br>
<br>
<br>
<span style=""font-size:12px""><img alt="""" src=""https://image.brandi.me/cproductdetail/2019/11/07/a6e7f650942cc82a0f9ae4424fa78f15.jpg""></span></div>
<div class=""brandiProductInfoTitle"">PRODUCT INFO</div><div class=""brandiSizeInfoImage""><img src=""https://image.brandi.me/category/image/img_product_jacket.jpg""></div><div class=""brandiProductInfoTxt"">(단면/CM)</div><div class=""brandiProductSizeInfoBox""><table class=""brandiProductSizeInfo""><thead><tr><td class=""brandiProductInfoHeader"">사이즈</td><td class=""brandiProductInfoHeader"">총장</td><td class=""brandiProductInfoHeader"">어깨</td><td class=""brandiProductInfoHeader"">가슴</td><td class=""brandiProductInfoHeader"">소매길이</td><td class=""brandiProductInfoHeader"">소매</td><td class=""brandiProductInfoHeader"">암홀</td><td class=""brandiProductInfoHeader"">밑단</td></tr></thead><tbody><tr><td class=""brandiSelectedTxt"">free</td><td class="""">52</td><td class="""">48</td><td class="""">51</td><td class="""">19</td><td class="""">18</td><td class="""">21</td><td class="""">52</td></tr></tbody></table></div><table class=""brandiProductEtcInfo""><tbody><tr><td class=""brandiSelectedTxt"">안감</td><td class="""">있음</td><td class=""brandiSelectedTxt"">없음</td><td class="""">기모</td></tr><tr><td class=""brandiSelectedTxt"">촉감</td><td class="""">부드러움</td><td class=""brandiSelectedTxt"">보통</td><td class="""">까실함</td></tr><tr><td class=""brandiSelectedTxt"">핏감</td><td class="""">타이트</td><td class=""brandiSelectedTxt"">정사이즈</td><td class="""">루즈</td></tr><tr><td class=""brandiSelectedTxt"">두께감</td><td class="""">도톰</td><td class=""brandiSelectedTxt"">보통</td><td class="""">얇음</td></tr></tbody></table>",cottonlog,Brandi,"_tab_quadpay, _tab_shipping-information,outer",false,[색상],크림,,,,,cottonlog-(데일리) 탄탄한 스티치 코튼 반팔 자켓_코튼로그-16105775-크림,0,shopify,50,deny,manual,44.1,,true,true,,http://aminoko.cafe24.com/brandifile/title-16105775-1.jpg,4,,false,,,,,,,,,,,,,,,,,,,14.7
brandi-cottonlog-16105775,,,,,,,,베이지,,,,,cottonlog-(데일리) 탄탄한 스티치 코튼 반팔 자켓_코튼로그-16105775-베이지,0,shopify,50,deny,manual,44.1,,true,true,,http://aminoko.cafe24.com/brandifile/title-16105775-2.jpg,,,,,,,,,,,,,,,,,,,,,,14.7
