ksource,keywords,knum,nsource,nnum,title,url
ENTERPRISE,치킨,1,NAVER,1,"[PGI.S] 데이트레이드, 8강서 3연속 치킨...TSG-VP-MCG와 결승행",https://www.fomos.kr/redirect/news_view?news_cate_id=3&entry_id=97820
ENTERPRISE,치킨,1,NAVER,2,“멕시카나가 '커피+치킨'이라는 괴랄한 조합을 내놨습니다”,https://www.wikitree.co.kr/articles/625162
ENTERPRISE,치킨,1,NAVER,3,치킨집 사장님 택하는 청년들… BBQ 새 매장 50%가 2030,https://hankookilbo.com/News/Read/A2021030513440001786?did=NA
ENTERPRISE,치킨,1,NAVER,4,'아이유' 사라졌다…카카오M·스포티파이 '치킨게임' 치닫나,https://www.news1.kr/articles/?4229636
ENTERPRISE,치킨,1,NAVER,5,"삼성 라이온즈, 땅땅치킨 드라이브 스루 사인회 개최",http://www.idaegu.com/newsView/idg202103060007
ENTERPRISE,치킨,1,NAVER,6,"[PGI.S] 연속 치킨 달성한 TSG-DAY, 결승 진출",http://www.inven.co.kr/webzine/news/?news=252636&iskin=esports
ENTERPRISE,치킨,1,NAVER,7,국내도 치킨·피자 ‘드론 배송’ 임박…복잡한 도심 배달 기술 개발이 과제,http://news.khan.co.kr/kh_news/khan_art_view.html?artid=202103072135015&code=920100
ENTERPRISE,치킨,1,NAVER,8,"bhc치킨, BSR과 함께하는 봉사활동 추천 이벤트",http://www.fnnews.com/news/202103050857470286
ENTERPRISE,치킨,1,NAVER,9,"푸라닭 치킨, 신규 TV광고 캠페인 '오븐-후라이드 편' 공개",http://www.businesskorea.co.kr/news/articleView.html?idxno=61761
ENTERPRISE,치킨,1,NAVER,10,"[팝업★]""건강하고 날씬하게"" 한예슬, 無밀가루 팬케이크→치킨 또띠아 레시피...",http://biz.heraldcorp.com/view.php?ud=202103061523420559965_1
ENTERPRISE,치킨,1,NAVER,11,"""bhc 회장이 BBQ 전산망 불법접속""…'치킨전쟁' 점입가경",https://www.hankyung.com/society/article/2021030305171
ENTERPRISE,치킨,1,NAVER,12,프랜차이즈 치킨집·카페 5곳 중 1곳 연매출 1억 미만,http://yna.kr/AKR20210304077300002?did=1195m
ENTERPRISE,치킨,1,DAUM,1,"보드람치킨, '얇튀속촉' 오리지널 후라이드 치킨 브랜드 리뉴얼",http://v.media.daum.net/v/20210306140259385
ENTERPRISE,치킨,1,DAUM,2,'복수의 맛' 핫치킨 버거를 아십니까,http://v.media.daum.net/v/20210305030358697
ENTERPRISE,치킨,1,DAUM,3,"""치킨 먹는 소리 들려주세요"" bhc치킨, '포테킹 챌린지' 진행",http://v.media.daum.net/v/20210302121944787
ENTERPRISE,치킨,1,DAUM,4,치킨 안먹어도 치킨 시킨다..'돈쭐' 내는 착한 영수증,http://v.media.daum.net/v/20210302050057586
ENTERPRISE,치킨,1,DAUM,5,'공짜치킨' 선행으로 '돈쭐'난 치킨집에 도착한 두 번째 감사 인사,http://v.media.daum.net/v/20210304132848611
ENTERPRISE,치킨,1,DAUM,6,"멕시카나치킨, 치킨장사 32년 노하우 ..신규 창업시 1,000만 원 지원",http://v.media.daum.net/v/20210307080309206
ENTERPRISE,치킨,1,DAUM,7,"[PGI.S] '3치킨' 독식한 DAY, 서바이벌 토너먼트 결승 진출",http://v.media.daum.net/v/20210307210428530
ENTERPRISE,치킨,1,DAUM,8,"신혜선, 치킨을 든 '철인왕후'",http://v.media.daum.net/v/20210302091840024
ENTERPRISE,치킨,1,DAUM,9,"푸라닭 치킨, TV광고 캠페인 '오븐-후라이드 편' 공개",http://v.media.daum.net/v/20210306090003315
ENTERPRISE,치킨,1,DAUM,10,"삼성, 땅땅치킨과 DT 사인회",http://v.media.daum.net/v/20210305104343292
ENTERPRISE,치킨,1,DAUM,11,"치킨집 형제 ""열심히 공부해서 은혜 갚을게요""",http://v.media.daum.net/v/20210304164105192
ENTERPRISE,치킨,1,DAUM,12,"bhc치킨, '가맹점 100억원 지원 프로젝트' 가동 박차",http://v.media.daum.net/v/20210304162609529
