순위,종목코드,종목명,현재가,대비,등락률,거래량,거래대금,시가,고가,저가,시가총액,시가총액비중(%),상장주식수,외국인 보유주식수,외국인 지분율(%),총카운트
1,005930,삼성전자,"73,300","0","0.0","10,434,456","764,758,341,300","73,300","73,700","73,000","437,585,060,915,000","19.12","5,969,782,550",,,2524
2,000660,SK하이닉스,"118,000","-1,500","-1.3","1,739,711","205,715,834,000","118,500","119,000","117,500","85,904,279,070,000","3.75","728,002,365",,,
3,051910,LG화학,"813,000","-17,000","-2.0","223,552","182,636,340,000","831,000","832,000","806,000","57,391,574,859,000","2.51","70,592,343",,,
4,005935,삼성전자우,"68,700","-200","-0.3","1,752,692","120,583,767,100","68,900","69,300","68,600","56,532,316,290,000","2.47","822,886,700",,,
5,207940,삼성바이오로직스,"801,000","-3,000","-0.4","38,921","31,203,330,000","804,000","808,000","800,000","52,998,165,000,000","2.32","66,165,000",,,
6,068270,셀트리온,"354,000","2,500","0.7","595,864","211,423,523,000","353,000","357,500","351,000","47,789,222,970,000","2.09","134,997,805",,,
7,035420,NAVER,"283,000","-2,000","-0.7","243,031","68,846,483,500","284,000","285,500","282,500","46,486,540,785,000","2.03","164,263,395",,,
8,005380,현대차,"189,500","-1,000","-0.5","516,392","98,037,001,000","191,000","191,000","189,000","40,490,121,436,500","1.77","213,668,187",,,
9,006400,삼성SDI,"565,000","-2,000","-0.4","139,867","79,063,723,000","571,000","571,000","559,000","38,851,959,450,000","1.70","68,764,530",,,
10,035720,카카오,"366,500","-2,500","-0.7","216,640","79,470,853,000","369,000","369,500","365,500","32,365,717,253,500","1.41","88,310,279",,,
11,051900,LG생활건강,"1,620,000","6,000","0.4","13,590","21,978,449,000","1,612,000","1,629,000","1,601,000","25,301,479,140,000","1.11","15,618,197",,,
12,000270,기아차,"62,100","100","0.2","746,123","46,264,568,600","62,000","62,600","61,600","25,173,063,848,700","1.10","405,363,347",,,
13,091990,셀트리온헬스케어,"161,900","3,100","2.0","2,037,136","328,967,380,000","159,600","163,500","158,500","24,578,010,181,800","1.07","151,809,822",,,
14,028260,삼성물산,"129,000","1,500","1.2","378,962","48,895,260,000","127,500","130,500","127,500","24,108,433,449,000","1.05","186,887,081",,,
15,012330,현대모비스,"251,000","2,000","0.8","131,818","32,982,194,000","250,500","252,000","248,500","23,858,728,194,000","1.04","95,054,694",,,
16,005490,POSCO,"269,000","1,000","0.4","169,632","46,014,356,500","271,500","275,500","268,500","23,453,258,615,000","1.02","87,186,835",,,
17,017670,SK텔레콤,"246,500","500","0.2","137,920","33,736,997,500","245,000","246,500","243,500","19,903,817,761,500","0.87","80,745,711",,,
18,036570,엔씨소프트,"870,000","2,000","0.2","37,548","32,771,568,000","871,000","881,000","868,000","19,099,999,140,000","0.83","21,954,022",,,
19,105560,KB금융,"45,100","-150","-0.3","979,174","44,261,414,350","45,600","45,650","45,000","18,752,937,192,000","0.82","415,807,920",,,
20,015760,한국전력,"28,650","2,650","10.2","25,706,101","719,475,794,900","27,350","28,800","27,300","18,392,270,806,050","0.80","641,964,077",,,
21,096770,SK이노베이션,"189,500","-2,500","-1.3","351,144","66,801,569,000","193,000","193,500","188,000","17,522,224,378,000","0.77","92,465,564",,,
22,055550,신한지주,"33,400","150","0.4","1,223,379","40,790,387,700","33,350","33,500","33,200","17,251,996,289,000","0.75","516,526,835",,,
23,034730,SK,"241,500","-500","-0.2","123,881","29,952,499,500","242,500","243,500","240,000","16,992,011,725,500","0.74","70,360,297",,,
24,066570,LG전자,"96,300","-600","-0.6","519,391","50,039,310,450","97,300","97,400","95,800","15,759,284,488,200","0.69","163,647,814",,,
25,032830,삼성생명,"75,800","-100","-0.1","156,386","11,838,738,800","76,000","76,100","75,200","15,160,000,000,000","0.66","200,000,000",,,
26,326030,SK바이오팜,"178,000","1,500","0.8","274,647","49,000,784,500","178,000","180,000","176,500","13,939,758,500,000","0.61","78,313,250",,,
27,018260,삼성에스디에스,"178,500","1,000","0.6","112,851","20,059,568,000","178,000","179,500","176,500","13,811,937,300,000","0.60","77,377,800",,,
28,003550,LG,"78,600","300","0.4","182,653","14,319,328,700","78,100","78,900","78,000","13,562,990,496,600","0.59","172,557,131",,,
29,009150,삼성전기,"168,500","-2,500","-1.5","279,760","47,313,268,500","170,000","170,500","168,000","12,585,887,776,000","0.55","74,693,696",,,
30,090430,아모레퍼시픽,"209,000","0","0.0","71,632","14,943,732,000","209,000","210,500","207,500","12,217,824,410,000","0.53","58,458,490",,,
31,033780,KT&G,"87,900","2,100","2.4","1,251,502","109,896,767,200","86,400","88,700","86,200","12,068,010,486,300","0.53","137,292,497",,,
32,251270,넷마블,"126,000","-500","-0.4","131,078","16,506,011,500","126,500","127,000","125,000","10,816,376,130,000","0.47","85,844,255",,,
33,086790,하나금융지주,"35,800","-250","-0.7","473,769","16,942,933,600","35,950","36,000","35,650","10,748,665,819,600","0.47","300,242,062",,,
34,000810,삼성화재,"197,500","500","0.2","64,129","12,619,969,500","196,000","197,500","195,000","9,356,530,307,500","0.41","47,374,837",,,
35,011170,롯데케미칼,"265,500","-1,500","-0.6","100,197","26,627,558,000","268,000","268,500","264,000","9,100,123,744,500","0.40","34,275,419",,,
36,068760,셀트리온제약,"240,800","6,800","2.9","1,258,129","301,587,938,500","236,500","243,900","233,800","8,623,201,389,600","0.38","35,810,637",,,
37,018880,한온시스템,"15,650","-500","-3.1","709,932","11,214,329,400","16,050","16,100","15,600","8,353,970,000,000","0.36","533,800,000",,,
38,019170,신풍제약,"151,500","1,000","0.7","874,561","132,599,248,500","152,000","154,000","150,000","8,027,225,985,000","0.35","52,984,990",,,
39,010950,S-Oil,"70,800","-400","-0.6","194,140","13,754,742,900","71,500","71,500","70,500","7,970,861,673,600","0.35","112,582,792",,,
40,009540,한국조선해양,"109,000","-1,500","-1.4","139,804","15,299,984,500","111,000","111,500","108,500","7,714,269,644,000","0.34","70,773,116",,,
41,010130,고려아연,"407,000","0","0.0","39,078","15,903,873,000","408,500","411,000","402,500","7,680,090,000,000","0.34","18,870,000",,,
