handle,title,body_HTML,vendor,type,tags,published,option1_name,option1_value,option2_name,option2_value,option3_name,option3_value,variant_sku,variant_grams,variant_inventory_tracker,variant_inventory_qty,variant_inventory_policy,variant_fullfillment_service,variant_price,variant_compare_at_price,varient_requires_shipping,variant_taxable,variant_barcord,image_src,image_position,image_alt_text,gift_card,seo_title,seo_description,google_shopping_google_product_category,google_shopping_gender,goggle_shopping_age_group,google_shopping_mpn,google_shopping_adwords_grouping,google_shopping_adwords_labels,google_shopping_condition,google_shopping_custom_product,google_shopping_custion_label0,google_shopping_custion_label1,google_shopping_custion_label2,google_shopping_custion_label3,google_shopping_custion_label4,variant_image,variant_weight_unit,variant_tax_code,cost_per_item
b-banharimarket-17070459,(8col)골지 라운드 썸머 니트 가디건 티셔츠_반하리마켓,"                                        <p><strong>☘comment<strong>☘</strong></strong><br>
&nbsp;</p>

<p>[모델소장]라운드넥 가디건 반팔 티셔츠 소개드려요*.*<br>
정말 가볍고 얇은 소재로 한여름에도&nbsp;<br>
시원하게 착용 가능한 상품이에요<br>
&nbsp;여리여리하니 좋았구요<br>
컬러도 고급스럽고&nbsp;마음에 들었답니당<br>
베이직한 디자인이지만&nbsp; 골지 디테일과&nbsp;<br>
단추로 포인트가 되는 아이템 입니다<br>
팬츠나 스커트 어디에든 코디하기 좋은&nbsp;기본템으로<br>
손이 많이 가실거에요 ^-^ 추천드립니다!!<br>
<br>
&nbsp;</p>

<p><strong>☘color<strong>☘</strong></strong><br>
블랙,옐로우,레드,베이지,소라,아이보리,연두,오렌지(8color)<br>
<br>
소재: 아크릴100</p>

<p>&nbsp;</p>

<p><strong>☘</strong><strong>제품설명<strong>☘</strong></strong><br>
<br>
■신축성(높음) &nbsp; ■비침(있음)</p>

<p><br>
■안감(없음) ■두께감(얇음)<br>
<br>
<br>
<br>
<br>
<strong>☘</strong><strong>원산지<strong>☘</strong></strong><br>
한국</p>

<p>&nbsp;</p>

<p>&nbsp;</p>

<p><strong>☘</strong><strong>모델사이즈<strong>☘</strong></strong></p>

<p>160cm/ 45kg/ 44size/ 230mm</p>

<p>&nbsp;</p>

<p>&nbsp;</p>

<p>모든 의류들은 첫 세탁시에 드라이클리닝을 권장합니다.</p>

<p>재는 위치와 방법에 따라 1~2cm 오차가 있을 수 있습니다.</p>

<p>빛의 각도에 따라 색깔이 달라 보일 수 있습니다.</p>

<p>&nbsp;</p>

<p>&nbsp;</p>

<p>&nbsp;</p>

<p>&nbsp;</p>

<p>&nbsp;</p>

<p>&nbsp;</p>

<p>-레드-<img src=""https://image.brandi.me/cproductdetail/2020/06/03/ee93ad7b025b6d2373501eb84a55e8bc.jpg"" title=""product detail image""><br>
<br>
<br>
<br>
<img src=""https://image.brandi.me/cproductdetail/2020/06/03/0e719eec03f5b628050bd4ba2455b292.jpg"" title=""product detail image""><br>
<br>
<br>
<br>
<br>
<img src=""https://image.brandi.me/cproductdetail/2020/06/03/8aa0be11ee079f9119f93e7ab8d110b6.jpg"" title=""product detail image""><br>
&nbsp;</p>

<p>&nbsp;</p>

<p>&nbsp;</p>

<p>&nbsp;</p>

<p>&nbsp;</p>

<p>&nbsp;</p>

<p>&nbsp;</p>

<p>&nbsp;</p>

<p>-연두-</p>

<p><img src=""https://image.brandi.me/cproductdetail/2020/06/03/39d92ef9c8519f530a71e7223addb33b.jpg"" title=""product detail image""><br>
<br>
<br>
<br>
<img src=""https://image.brandi.me/cproductdetail/2020/06/03/c8fe9c5cd466966ed08806adc0b89c01.jpg"" title=""product detail image""><br>
<br>
<br>
<br>
<br>
<img src=""https://image.brandi.me/cproductdetail/2020/06/03/2dac754c2921a61c2139ea5dd3198763.jpg"" title=""product detail image""><br>
<br>
<br>
<br>
<img src=""https://image.brandi.me/cproductdetail/2020/06/03/024ae4cc03793d4987fd38eb46dd1680.jpg"" title=""product detail image""><br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
-소라-</p>

<p><img src=""https://image.brandi.me/cproductdetail/2020/06/03/dfe960f7d796dafd03fbd65cc358e9c2.jpg"" title=""product detail image""><br>
<br>
<br>
<br>
<img src=""https://image.brandi.me/cproductdetail/2020/06/03/70895a458aefacf9bb8e81096b86c7ca.jpg"" title=""product detail image""><br>
<br>
<br>
<br>
<img src=""https://image.brandi.me/cproductdetail/2020/06/03/39201df93a17ae312420053d3ca4d0f6.jpg"" title=""product detail image""><br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
-오렌지-</p>

<p><img src=""https://image.brandi.me/cproductdetail/2020/06/03/170d7d018446aaf404fc865cf08c550c.jpg"" title=""product detail image""><br>
<br>
<br>
<br>
<img src=""https://image.brandi.me/cproductdetail/2020/06/03/c0b6ebcf5c654af0426b69156594ff5e.jpg"" title=""product detail image""><br>
<br>
<br>
<br>
<img src=""https://image.brandi.me/cproductdetail/2020/06/03/1d5e57de7dc0ebe2658309560a7a005c.jpg"" title=""product detail image""><br>
<br>
<br>
<br>
<img src=""https://image.brandi.me/cproductdetail/2020/06/03/86378f2f468d4bc100b38fda9dc37fd3.jpg"" title=""product detail image""><br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
-옐로우-</p>

<p><img src=""https://image.brandi.me/cproductdetail/2020/06/03/01c66437336b1ffb983ced977a95a446.jpg"" title=""product detail image""><br>
<br>
<br>
<br>
<img src=""https://image.brandi.me/cproductdetail/2020/06/03/40babef469d713e49199e9f85e2e97fc.jpg"" title=""product detail image""><br>
<br>
<br>
<br>
<img src=""https://image.brandi.me/cproductdetail/2020/06/03/9db5b6462cef5bfe26688f792485d2da.jpg"" title=""product detail image""><br>
<br>
<br>
<br>
<img src=""https://image.brandi.me/cproductdetail/2020/06/03/ff603e9d17db6d3e8ddbb27aea741f4b.jpg"" title=""product detail image""><br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
-베이지-</p>

<p><img src=""https://image.brandi.me/cproductdetail/2020/06/03/fadb99d78cb3a1db09c102d34cce986e.jpg"" title=""product detail image""><br>
<br>
<br>
<br>
<img src=""https://image.brandi.me/cproductdetail/2020/06/03/0a268f4f3dab8ae34f4173ba10965cbd.jpg"" title=""product detail image""><br>
<br>
<br>
<br>
<img src=""https://image.brandi.me/cproductdetail/2020/06/03/5315e5fd5469dc1afe8ff33910a06c17.jpg"" title=""product detail image""><br>
<br>
<br>
<br>
<br>
&nbsp;</p>

<p><br>
<br>
<br>
-블랙-</p>

<p><img src=""https://image.brandi.me/cproductdetail/2020/06/03/a4c7fc490ff0f30c876f2f693dc3d2b2.jpg"" title=""product detail image""><br>
<br>
<br>
<br>
<img src=""https://image.brandi.me/cproductdetail/2020/06/03/7644ae82529bbbe6120ed8e793543b17.jpg"" title=""product detail image""><br>
<br>
<br>
<br>
<img src=""https://image.brandi.me/cproductdetail/2020/06/03/c96ae57d0d0b76b3147796a5b95d06c4.jpg"" title=""product detail image""><br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
-아이보리-</p>

<p><img src=""https://image.brandi.me/cproductdetail/2020/06/03/639ec93cefd51763c405eece869bd9f8.jpg"" title=""product detail image""><br>
<br>
<br>
<br>
<img src=""https://image.brandi.me/cproductdetail/2020/06/03/0b042ace6b83878a2035c29cd027c54d.jpg"" title=""product detail image""><br>
<br>
<br>
<br>
<img src=""https://image.brandi.me/cproductdetail/2020/06/03/99d49509797952bf248211a40457e59f.jpg"" title=""product detail image""><br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
-DETAIL-</p>

<p><img src=""https://image.brandi.me/cproductdetail/2020/06/03/754171e4e365e309fdd9f374616e9d45.jpg"" title=""product detail image""><br>
<img src=""https://image.brandi.me/cproductdetail/2020/06/03/d8243ba7c8daac3f63a2e2b446e60489.jpg"" title=""product detail image""><br>
<img src=""https://image.brandi.me/cproductdetail/2020/06/03/3d49149ae36474b879058ce0ee87d435.jpg"" title=""product detail image""><br>
<img src=""https://image.brandi.me/cproductdetail/2020/06/03/5ca46739a048b50002b61c4155dc1332.jpg"" title=""product detail image""><br>
<img src=""https://image.brandi.me/cproductdetail/2020/06/03/ebe31b3867a6e6db9477ccf564899216.jpg"" title=""product detail image""><br>
<br>
<br>
&nbsp;</p>
<div class=""brandiProductInfoTitle"">PRODUCT INFO</div><div class=""brandiSizeInfoImage""><img src=""https://image.brandi.me/category/image/img_product_cardigan.jpg""></div><div class=""brandiProductInfoTxt"">(단면/CM)</div><div class=""brandiProductSizeInfoBox""><table class=""brandiProductSizeInfo""><thead><tr><td class=""brandiProductInfoHeader"">사이즈</td><td class=""brandiProductInfoHeader"">총장</td><td class=""brandiProductInfoHeader"">어깨</td><td class=""brandiProductInfoHeader"">가슴</td><td class=""brandiProductInfoHeader"">소매길이</td><td class=""brandiProductInfoHeader"">소매</td><td class=""brandiProductInfoHeader"">암홀</td><td class=""brandiProductInfoHeader"">밑단</td></tr></thead><tbody><tr><td class=""brandiSelectedTxt"">free</td><td class="""">49</td><td class="""">19</td><td class="""">35</td><td class="""">36</td><td class="""">10</td><td class="""">18</td><td class="""">33</td></tr></tbody></table></div><table class=""brandiProductEtcInfo""><tbody><tr><td class=""brandiSelectedTxt"">안감</td><td class="""">있음</td><td class=""brandiSelectedTxt"">없음</td><td class="""">기모</td></tr><tr><td class=""brandiSelectedTxt"">신축성</td><td class=""brandiSelectedTxt"">좋음</td><td class="""">보통</td><td class="""">없음</td></tr><tr><td class=""brandiSelectedTxt"">비침</td><td class="""">없음</td><td class="""">약간</td><td class=""brandiSelectedTxt"">있음</td></tr><tr><td class=""brandiSelectedTxt"">촉감</td><td class=""brandiSelectedTxt"">부드러움</td><td class="""">보통</td><td class="""">까실함</td></tr><tr><td class=""brandiSelectedTxt"">두께감</td><td class="""">도톰</td><td class="""">보통</td><td class=""brandiSelectedTxt"">얇음</td></tr></tbody></table>
        
        
        
        ",banharimarket,Brandi,"_tab_quadpay, _tab_shipping-information,Outer",false,[컬러],블랙(black),[사이즈],free,,,BR-banharimarket-(8col)골지 라운드 썸머 니트 가디건 티셔츠_반하리마켓-블랙-17070459,0,shopify,50,deny,manual,44.1,,true,true,,http://tusiworks.iptime.org/brandifile/title-17070459-1.jpg,4,,false,,,,,,,,,,,,,,,,,,,14.7
b-banharimarket-17070459,,,,,,,,옐로우(yellow),,free,,,BR-banharimarket-(8col)골지 라운드 썸머 니트 가디건 티셔츠_반하리마켓-옐로우-17070459,0,shopify,50,deny,manual,44.1,,true,true,,http://tusiworks.iptime.org/brandifile/title-17070459-2.jpg,,,,,,,,,,,,,,,,,,,,,,14.7
b-banharimarket-17070459,,,,,,,,레드(red),,free,,,BR-banharimarket-(8col)골지 라운드 썸머 니트 가디건 티셔츠_반하리마켓-레드-17070459,0,shopify,50,deny,manual,44.1,,true,true,,http://tusiworks.iptime.org/brandifile/title-17070459-3.jpg,,,,,,,,,,,,,,,,,,,,,,14.7
b-banharimarket-17070459,,,,,,,,베이지,,free,,,BR-banharimarket-(8col)골지 라운드 썸머 니트 가디건 티셔츠_반하리마켓-베이지-17070459,0,shopify,50,deny,manual,44.1,,true,true,,http://tusiworks.iptime.org/brandifile/title-17070459-4.jpg,,,,,,,,,,,,,,,,,,,,,,14.7
b-banharimarket-17070459,,,,,,,,소라,,free,,,BR-banharimarket-(8col)골지 라운드 썸머 니트 가디건 티셔츠_반하리마켓-소라-17070459,0,shopify,50,deny,manual,44.1,,true,true,,,,,,,,,,,,,,,,,,,,,,,,14.7
b-banharimarket-17070459,,,,,,,,아이보리,,free,,,BR-banharimarket-(8col)골지 라운드 썸머 니트 가디건 티셔츠_반하리마켓-아이보리-17070459,0,shopify,50,deny,manual,44.1,,true,true,,,,,,,,,,,,,,,,,,,,,,,,14.7
b-banharimarket-17070459,,,,,,,,연두,,free,,,BR-banharimarket-(8col)골지 라운드 썸머 니트 가디건 티셔츠_반하리마켓-연두-17070459,0,shopify,50,deny,manual,44.1,,true,true,,,,,,,,,,,,,,,,,,,,,,,,14.7
b-banharimarket-17070459,,,,,,,,오렌지,,free,,,BR-banharimarket-(8col)골지 라운드 썸머 니트 가디건 티셔츠_반하리마켓-오렌지-17070459,0,shopify,50,deny,manual,44.1,,true,true,,,,,,,,,,,,,,,,,,,,,,,,14.7
b-banharimarket-16896456,(4col)반오프 골지 반팔 가디건 티셔츠_반하리마켓,"          <div>☘comment☘<br>
<br>
<br>
[모델소장] 핏과 컬러 착용감<br>
모두&nbsp;&nbsp;만족 스러웠던 골지 가디건 소개드려요*.*<br>
골지 패턴과&nbsp; 단추 디테일로&nbsp;<br>
심플하지만 밋밋하지 않고 예쁜 가디건이랍니다!!<br>
착용감 부드럽고 가벼워요!!<br>
탄탄한 골지&nbsp;패턴의 짜임과 마감처리로&nbsp;<br>
퀄리티 있게 제작된 상품이에요^-^<br>
반크롭한 기장감으로 하의에 넣어 입기에도 편안했고&nbsp;<br>
꺼내 입기에도 좋은 기장감이였구요!!<br>
과하지 않은 반오프 디자인으로 넥라인과 어깨라인이<br>
드러나 여성스럽고 예쁘답니다~<br>
데일리로 소장하시면 어디에든 매칭하시기<br>
좋아 손이 많이 가실거랍니다&nbsp;추천드려요:)<br>
<br>
<br>
<br>
☘컬러☘<br>
화이트,바이올렛,민트,블랙(4color)<br>
<br>
<br>
<br>
<br>
소재: 면100<br>
<br>
<br>
<br>
☘제품설명☘<br>
<br>
■신축성(높음) ■비침(약간)<br>
■안감(없음) ■두께감(얇음)<br>
<br>
<br>
<br>
<br>
☘원산지☘<br>
한국<br>
<br>
<br>
<br>
☘모델사이즈☘<br>
160cm/ 45kg/ 44size/ 230mm<br>
<br>
<br>
<br>
<br>
<br>
모든 의류들은 첫 세탁시에 드라이클리닝을 권장합니다.<br>
재는 위치와 방법에 따라 1~2cm 오차가 있을 수 있습니다.<br>
빛의 각도에 따라 색깔이 달라 보일 수 있습니다.</div>

<div>&nbsp;</div>

<div>&nbsp;</div>

<div>&nbsp;</div>

<div>&nbsp;</div>

<div>&nbsp;</div>

<div>&nbsp;</div>

<div>-민트-</div>

<div><img src=""https://image.brandi.me/cproductdetail/2020/05/31/164040fa0ccacce91dd855411978933b.jpg"" title=""product detail image""><br>
<br>
<br>
<br>
<img src=""https://image.brandi.me/cproductdetail/2020/05/31/2eeaa903f3afa2adfbc73c9905d66818.jpg"" title=""product detail image""><br>
<br>
<br>
<br>
<img src=""https://image.brandi.me/cproductdetail/2020/05/31/df98a9afb520ce0b179e8018c0b2abca.jpg"" title=""product detail image""><br>
<br>
<br>
<br>
<img src=""https://image.brandi.me/cproductdetail/2020/05/31/249ce0bffe3d6a1b17fa4bdcc0259245.jpg"" title=""product detail image""><br>
&nbsp;</div>

<div>&nbsp;</div>

<div>&nbsp;</div>

<div>&nbsp;</div>

<div>&nbsp;</div>

<div>&nbsp;</div>

<div>&nbsp;</div>

<div>&nbsp;</div>

<div>-바이올렛-</div>

<div><img src=""https://image.brandi.me/cproductdetail/2020/05/31/b8cddd22f6d5c5e606a2995c4e3b9006.jpg"" title=""product detail image""><br>
<br>
<br>
<br>
<img src=""https://image.brandi.me/cproductdetail/2020/05/31/fc472f98bd33e2317177925e2f5dbece.jpg"" title=""product detail image""><br>
<br>
<br>
<br>
<img src=""https://image.brandi.me/cproductdetail/2020/05/31/062b6e5660b97eaae606215e018b9cdd.jpg"" title=""product detail image""><br>
<br>
<br>
<br>
<img src=""https://image.brandi.me/cproductdetail/2020/05/31/2adcfe85fb3375c0bbdc2defa3fbadea.jpg"" title=""product detail image""><br>
&nbsp;</div>

<div>&nbsp;</div>

<div>&nbsp;</div>

<div>&nbsp;</div>

<div>&nbsp;</div>

<div>&nbsp;</div>

<div>&nbsp;</div>

<div>&nbsp;</div>

<div>-화이트-</div>

<div><img src=""https://image.brandi.me/cproductdetail/2020/05/31/dcb0f3b28d00ec0e27c5fdada225341e.jpg"" title=""product detail image""><br>
<br>
<br>
<br>
<img src=""https://image.brandi.me/cproductdetail/2020/05/31/0493930aac25f4dafa219f7b7c4974fc.jpg"" title=""product detail image""><br>
<br>
<br>
<br>
<img src=""https://image.brandi.me/cproductdetail/2020/05/31/46df4295d6d7df097ffdd14e0a376931.jpg"" title=""product detail image""><br>
<br>
<br>
<br>
<img src=""https://image.brandi.me/cproductdetail/2020/05/31/23c413c9b6ba5f9ee758e8e00e3c708a.jpg"" title=""product detail image""><br>
<br>
<br>
<br>
<img src=""https://image.brandi.me/cproductdetail/2020/05/31/7439abb5a40f5c217fc844ecfad3f7cc.jpg"" title=""product detail image""><br>
&nbsp;</div>

<div>&nbsp;</div>

<div>&nbsp;</div>

<div>&nbsp;</div>

<div>&nbsp;</div>

<div>&nbsp;</div>

<div>&nbsp;</div>

<div>&nbsp;</div>

<div>-블랙-</div>

<div><img src=""https://image.brandi.me/cproductdetail/2020/05/31/a813b443dc6b8f051d46ec889f6ec325.jpg"" title=""product detail image""><br>
<br>
<br>
<br>
<img src=""https://image.brandi.me/cproductdetail/2020/05/31/0949fc1ed73b37bb6c4d4f349b31685c.jpg"" title=""product detail image""><br>
<br>
<br>
<br>
<img src=""https://image.brandi.me/cproductdetail/2020/05/31/e41784f7c45c2889c125e30e2dd018dc.jpg"" title=""product detail image""><br>
<br>
<br>
<br>
<img src=""https://image.brandi.me/cproductdetail/2020/05/31/cd2808aa68ab4d8839750d0ffc20eb20.jpg"" title=""product detail image""><br>
<br>
<br>
<br>
&nbsp;</div>

<div>&nbsp;</div>

<div>&nbsp;</div>

<div>&nbsp;</div>

<div>&nbsp;</div>

<div>&nbsp;</div>

<div>&nbsp;</div>

<div>&nbsp;</div>

<div>-DETAIL-</div>

<div><img src=""https://image.brandi.me/cproductdetail/2020/05/31/a67ad942f62d1904583a8d3645f7dc5b.jpg"" title=""product detail image""><br>
<img src=""https://image.brandi.me/cproductdetail/2020/05/31/1cea628eeebe9f587594bf851b0bc0c5.jpg"" title=""product detail image""><br>
<img src=""https://image.brandi.me/cproductdetail/2020/05/31/3cf71bab7aa86dddd3041577091595d9.jpg"" title=""product detail image""><br>
<img src=""https://image.brandi.me/cproductdetail/2020/05/31/672f4e3e118d717a979c95954e5c64c6.jpg"" title=""product detail image""><br>
<img src=""https://image.brandi.me/cproductdetail/2020/05/31/e38d9508e9650101ef229eb9293ca340.jpg"" title=""product detail image""><br>
&nbsp;</div>

<div>&nbsp;</div>
<div class=""brandiProductInfoTitle"">PRODUCT INFO</div><div class=""brandiSizeInfoImage""><img src=""https://image.brandi.me/category/image/img_product_cardigan.jpg""></div><div class=""brandiProductInfoTxt"">(단면/CM)</div><div class=""brandiProductSizeInfoBox""><table class=""brandiProductSizeInfo""><thead><tr><td class=""brandiProductInfoHeader"">사이즈</td><td class=""brandiProductInfoHeader"">총장</td><td class=""brandiProductInfoHeader"">어깨</td><td class=""brandiProductInfoHeader"">가슴</td><td class=""brandiProductInfoHeader"">소매길이</td><td class=""brandiProductInfoHeader"">소매</td><td class=""brandiProductInfoHeader"">암홀</td><td class=""brandiProductInfoHeader"">밑단</td></tr></thead><tbody><tr><td class=""brandiSelectedTxt"">free</td><td class="""">44</td><td class="""">28</td><td class="""">36</td><td class="""">22</td><td class="""">11</td><td class="""">15</td><td class="""">36</td></tr></tbody></table></div><table class=""brandiProductEtcInfo""><tbody><tr><td class=""brandiSelectedTxt"">안감</td><td class="""">있음</td><td class=""brandiSelectedTxt"">없음</td><td class="""">기모</td></tr><tr><td class=""brandiSelectedTxt"">신축성</td><td class=""brandiSelectedTxt"">좋음</td><td class="""">보통</td><td class="""">없음</td></tr><tr><td class=""brandiSelectedTxt"">비침</td><td class="""">없음</td><td class=""brandiSelectedTxt"">약간</td><td class="""">있음</td></tr><tr><td class=""brandiSelectedTxt"">촉감</td><td class=""brandiSelectedTxt"">부드러움</td><td class="""">보통</td><td class="""">까실함</td></tr><tr><td class=""brandiSelectedTxt"">두께감</td><td class="""">도톰</td><td class="""">보통</td><td class=""brandiSelectedTxt"">얇음</td></tr></tbody></table>
        ",banharimarket,Brandi,"_tab_quadpay, _tab_shipping-information,Outer",false,[컬러],민트,,,,,BR-banharimarket-(4col)반오프 골지 반팔 가디건 티셔츠_반하리마켓-민트-16896456,0,shopify,50,deny,manual,44.1,,true,true,,http://tusiworks.iptime.org/brandifile/title-16896456-1.jpg,4,,false,,,,,,,,,,,,,,,,,,,14.7
b-banharimarket-16896456,,,,,,,,바이올렛,,,,,BR-banharimarket-(4col)반오프 골지 반팔 가디건 티셔츠_반하리마켓-바이올렛-16896456,0,shopify,50,deny,manual,44.1,,true,true,,http://tusiworks.iptime.org/brandifile/title-16896456-2.jpg,,,,,,,,,,,,,,,,,,,,,,14.7
