Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,variant_barcord,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,goggle_shopping_age_group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,google_shopping_custion_label0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
b-banharimarket-17070459,,,,,,,,옐로우(yellow),,free,,,BR-banharimarket-(8col)골지 라운드 썸머 니트 가디건 티셔츠_반하리마켓-옐로우-17070459,0,shopify,50,deny,manual,44.1,,true,true,,http://tusiworks.iptime.org/brandifile/title-17070459-2.jpg,,,,,,,,,,,,,,,,,,,,,,14.7
b-banharimarket-17070459,,,,,,,,레드(red),,free,,,BR-banharimarket-(8col)골지 라운드 썸머 니트 가디건 티셔츠_반하리마켓-레드-17070459,0,shopify,50,deny,manual,44.1,,true,true,,http://tusiworks.iptime.org/brandifile/title-17070459-3.jpg,,,,,,,,,,,,,,,,,,,,,,14.7
b-banharimarket-17070459,,,,,,,,베이지,,free,,,BR-banharimarket-(8col)골지 라운드 썸머 니트 가디건 티셔츠_반하리마켓-베이지-17070459,0,shopify,50,deny,manual,44.1,,true,true,,http://tusiworks.iptime.org/brandifile/title-17070459-4.jpg,,,,,,,,,,,,,,,,,,,,,,14.7
b-banharimarket-17070459,,,,,,,,소라,,free,,,BR-banharimarket-(8col)골지 라운드 썸머 니트 가디건 티셔츠_반하리마켓-소라-17070459,0,shopify,50,deny,manual,44.1,,true,true,,,,,,,,,,,,,,,,,,,,,,,,14.7
b-banharimarket-17070459,,,,,,,,아이보리,,free,,,BR-banharimarket-(8col)골지 라운드 썸머 니트 가디건 티셔츠_반하리마켓-아이보리-17070459,0,shopify,50,deny,manual,44.1,,true,true,,,,,,,,,,,,,,,,,,,,,,,,14.7
b-banharimarket-17070459,,,,,,,,연두,,free,,,BR-banharimarket-(8col)골지 라운드 썸머 니트 가디건 티셔츠_반하리마켓-연두-17070459,0,shopify,50,deny,manual,44.1,,true,true,,,,,,,,,,,,,,,,,,,,,,,,14.7
b-banharimarket-17070459,,,,,,,,오렌지,,free,,,BR-banharimarket-(8col)골지 라운드 썸머 니트 가디건 티셔츠_반하리마켓-오렌지-17070459,0,shopify,50,deny,manual,44.1,,true,true,,,,,,,,,,,,,,,,,,,,,,,,14.7
b-banharimarket-16896456,,,,,,,,바이올렛,,,,,BR-banharimarket-(4col)반오프 골지 반팔 가디건 티셔츠_반하리마켓-바이올렛-16896456,0,shopify,50,deny,manual,44.1,,true,true,,http://tusiworks.iptime.org/brandifile/title-16896456-2.jpg,,,,,,,,,,,,,,,,,,,,,,14.7
b-banharimarket-16896456,,,,,,,,화이트,,,,,BR-banharimarket-(4col)반오프 골지 반팔 가디건 티셔츠_반하리마켓-화이트-16896456,0,shopify,50,deny,manual,44.1,,true,true,,http://tusiworks.iptime.org/brandifile/title-16896456-3.jpg,,,,,,,,,,,,,,,,,,,,,,14.7
b-banharimarket-16896456,,,,,,,,블랙,,,,,BR-banharimarket-(4col)반오프 골지 반팔 가디건 티셔츠_반하리마켓-블랙-16896456,0,shopify,50,deny,manual,44.1,,true,true,,http://tusiworks.iptime.org/brandifile/title-16896456-4.jpg,,,,,,,,,,,,,,,,,,,,,,14.7
b-banharimarket-16895513,,,,,,,,블랙black,,,,,BR-banharimarket-(4col)앞리본 골지 긴팔 가디건_반하리마켓-블랙-16895513,0,shopify,50,deny,manual,41.1,,true,true,,http://tusiworks.iptime.org/brandifile/title-16895513-2.jpg,,,,,,,,,,,,,,,,,,,,,,13.7
b-banharimarket-16895513,,,,,,,,브라운,,,,,BR-banharimarket-(4col)앞리본 골지 긴팔 가디건_반하리마켓-브라운-16895513,0,shopify,50,deny,manual,41.1,,true,true,,http://tusiworks.iptime.org/brandifile/title-16895513-3.jpg,,,,,,,,,,,,,,,,,,,,,,13.7
b-banharimarket-16895513,,,,,,,,바이올렛,,,,,BR-banharimarket-(4col)앞리본 골지 긴팔 가디건_반하리마켓-바이올렛-16895513,0,shopify,50,deny,manual,41.1,,true,true,,http://tusiworks.iptime.org/brandifile/title-16895513-4.jpg,,,,,,,,,,,,,,,,,,,,,,13.7
b-banharimarket-16815260,,,,,,,,블랙,,,,,BR-banharimarket-(6col/썸머)크롭 물결 펀칭 여리 가디건_반하리마켓-블랙-16815260,0,shopify,50,deny,manual,59.1,,true,true,,http://tusiworks.iptime.org/brandifile/title-16815260-2.jpg,,,,,,,,,,,,,,,,,,,,,,19.7
b-banharimarket-16815260,,,,,,,,소라,,,,,BR-banharimarket-(6col/썸머)크롭 물결 펀칭 여리 가디건_반하리마켓-소라-16815260,0,shopify,50,deny,manual,59.1,,true,true,,http://tusiworks.iptime.org/brandifile/title-16815260-3.jpg,,,,,,,,,,,,,,,,,,,,,,19.7
b-banharimarket-16815260,,,,,,,,민트,,,,,BR-banharimarket-(6col/썸머)크롭 물결 펀칭 여리 가디건_반하리마켓-민트-16815260,0,shopify,50,deny,manual,59.1,,true,true,,http://tusiworks.iptime.org/brandifile/title-16815260-4.jpg,,,,,,,,,,,,,,,,,,,,,,19.7
b-banharimarket-16815260,,,,,,,,옐로우,,,,,BR-banharimarket-(6col/썸머)크롭 물결 펀칭 여리 가디건_반하리마켓-옐로우-16815260,0,shopify,50,deny,manual,59.1,,true,true,,http://tusiworks.iptime.org/brandifile/title-16815260-5.jpg,,,,,,,,,,,,,,,,,,,,,,19.7
b-banharimarket-16815260,,,,,,,,오렌지,,,,,BR-banharimarket-(6col/썸머)크롭 물결 펀칭 여리 가디건_반하리마켓-오렌지-16815260,0,shopify,50,deny,manual,59.1,,true,true,,,,,,,,,,,,,,,,,,,,,,,,19.7
b-banharimarket-16814559,,,,,,,,그린,,,,,BR-banharimarket-(3col)썸머 단가라 배색 브이넥 가디건 티셔츠_반하리마켓-그린-16814559,0,shopify,50,deny,manual,56.1,,true,true,,http://tusiworks.iptime.org/brandifile/title-16814559-2.jpg,,,,,,,,,,,,,,,,,,,,,,18.7
b-banharimarket-16814559,,,,,,,,소라,,,,,BR-banharimarket-(3col)썸머 단가라 배색 브이넥 가디건 티셔츠_반하리마켓-소라-16814559,0,shopify,50,deny,manual,56.1,,true,true,,http://tusiworks.iptime.org/brandifile/title-16814559-3.jpg,,,,,,,,,,,,,,,,,,,,,,18.7
b-banharimarket-16814376,,,,,,,,베이지,,free (일반배송),,,BR-banharimarket-(5col)파스텔 펀칭 라운드 반팔 니트 가디건_반하리마켓-베이지-16814376,0,shopify,50,deny,manual,50.1,,true,true,,http://tusiworks.iptime.org/brandifile/title-16814376-2.jpg,,,,,,,,,,,,,,,,,,,,,,16.7
b-banharimarket-16814376,,,,,,,,오렌지,,free (일반배송),,,BR-banharimarket-(5col)파스텔 펀칭 라운드 반팔 니트 가디건_반하리마켓-오렌지-16814376,0,shopify,50,deny,manual,50.1,,true,true,,http://tusiworks.iptime.org/brandifile/title-16814376-3.jpg,,,,,,,,,,,,,,,,,,,,,,16.7
b-banharimarket-16814376,,,,,,,,소라,,free (일반배송),,,BR-banharimarket-(5col)파스텔 펀칭 라운드 반팔 니트 가디건_반하리마켓-소라-16814376,0,shopify,50,deny,manual,50.1,,true,true,,http://tusiworks.iptime.org/brandifile/title-16814376-4.jpg,,,,,,,,,,,,,,,,,,,,,,16.7
b-banharimarket-16814376,,,,,,,,그린,,free (일반배송),,,BR-banharimarket-(5col)파스텔 펀칭 라운드 반팔 니트 가디건_반하리마켓-그린-16814376,0,shopify,50,deny,manual,50.1,,true,true,,http://tusiworks.iptime.org/brandifile/title-16814376-5.jpg,,,,,,,,,,,,,,,,,,,,,,16.7
b-banharimarket-16810414,,,,,,,,네이비,,free,,,BR-banharimarket-(린넨혼방) 나시+가디건 여리 세트_반하리마켓-네이비-16810414,0,shopify,50,deny,manual,74.4,,true,true,,http://tusiworks.iptime.org/brandifile/title-16810414-2.jpg,,,,,,,,,,,,,,,,,,,,,,24.8
b-banharimarket-16810077,,,,,,,,옐로우,,free,,,BR-banharimarket-(8col)썸머 펀칭 브이넥 반팔 니트_반하리마켓-옐로우-16810077,0,shopify,50,deny,manual,44.1,,true,true,,http://tusiworks.iptime.org/brandifile/title-16810077-2.jpg,,,,,,,,,,,,,,,,,,,,,,14.7
