ksource,keywords,knum,nsource,nnum,title,url
ENTERPRISE,삼성,1,NAVER,1,"징역 최대 16년 의견 낸 특검에 이재용측 ""국정농단, 삼성이 피해자""",http://www.inews24.com/view/1227711
ENTERPRISE,삼성,1,NAVER,2,"이재용 파기환송심..특검 ""징역 10년 이상"" vs 삼성 ""선처해달라""",http://www.dt.co.kr/contents.html?article_no=2019120602109919807026&ref=naver
ENTERPRISE,삼성,1,NAVER,3,"잠실 지배한 ‘허’타임! 허훈·쏜튼 펄펄 난 KT, 삼성 꺾고 4연승 질주",http://sports.news.naver.com/basketball/news/read.nhn?oid=065&aid=0000193545
ENTERPRISE,삼성,1,NAVER,4,'삼성바이오 수사' 두고 특검-이재용측 서로 발끈,http://www.ohmynews.com/NWS_Web/View/at_pg.aspx?CNTN_CD=A0002594016&CMPT_CD=P0010&utm_source=naver&utm_medium=newsearch&utm_campaign=naver_news
ENTERPRISE,삼성,1,NAVER,5,삼성전자 글로벌 5G폰 시장 압도…점유율 74%,https://view.asiae.co.kr/article/2019120609315265622
ENTERPRISE,삼성,1,DAUM,1,"삼성물산·삼성ENG, '파트너스 데이' 개최",http://v.media.daum.net/v/20191206144119406
ENTERPRISE,삼성,1,DAUM,2,"삼성물산·삼성엔지니어링, 주요 파트너사 초청해 '파트너스 데이'",http://v.media.daum.net/v/20191206143728315
ENTERPRISE,삼성,1,DAUM,3,"삼성물산-삼성엔지니어링, 파트너사 동반성장 행사 실시",http://v.media.daum.net/v/20191206133634459
ENTERPRISE,삼성,1,DAUM,4,"삼성금융, 스타트업 11곳 '삼성금융 오픈 컬래버레이션' 대상자 선정",http://v.media.daum.net/v/20191205082843209
ENTERPRISE,삼성,1,DAUM,5,"""삼성D, 애플 OLED 독점 공급..삼성전자 수혜""",http://v.media.daum.net/v/20191203103344646
ENTERPRISE,삼성,1,Google,1,"검찰 ""10년형 이상"" vs 삼성 ""실형 가혹""…이재용 국정농단 파기 ...",https://www.hankyung.com/society/article/201912067963i
ENTERPRISE,삼성,1,Google,2,올 3분기 삼성 스마트폰 국내 점유율 71%로 독주 지속,https://biz.chosun.com/site/data/html_dir/2019/12/04/2019120401073.html
ENTERPRISE,삼성,1,Google,3,"삼성전자, C랩 과제 4개 스타트업 창업 지원",https://news.samsung.com/kr/%EC%82%BC%EC%84%B1%EC%A0%84%EC%9E%90-c%EB%9E%A9-%EA%B3%BC%EC%A0%9C-4%EA%B0%9C-%EC%8A%A4%ED%83%80%ED%8A%B8%EC%97%85-%EC%B0%BD%EC%97%85-%EC%A7%80%EC%9B%90
ENTERPRISE,삼성,1,Google,4,"삼성, QLED 솔직한 이유 공개…“대화면엔 더 밝고 오래가는 빛 ...",https://news.joins.com/article/23646072
ENTERPRISE,삼성,1,Google,5,"삼성-부품협력사, 中 진출 확대 놓고 '동상이몽'",http://www.thelec.kr/news/articleView.html?idxno=4181
