ksource,keywords,knum,nsource,nnum,title,url
ENTERPRISE,갤럭시,1,NAVER,1,"엘리스폰, 갤럭시노트10 가격 20만원대 대란 및, 갤럭시S10 5G, LG V50S 연말...",http://www.newsrep.co.kr/news/articleView.html?idxno=102006
ENTERPRISE,갤럭시,1,NAVER,2,갤럭시A51 추정사진 잇단 등장.. ‘아이폰 닮았네’,http://www.fnnews.com/news/201912070737510087
ENTERPRISE,갤럭시,1,NAVER,3,"폰의달인, 갤럭시S10·LG G8·아이폰7 최대 할인… 2019년 시즌오프 행사",http://www.e2news.com/news/articleView.html?idxno=217397
ENTERPRISE,갤럭시,1,NAVER,4,"'갤럭시북S'는 시작일뿐…퀄컴, PC용 스냅드래곤 7·8c 공세 '예고'",http://www.inews24.com/view/1227456
ENTERPRISE,갤럭시,1,NAVER,5,"""보조배터리야?""…갤럭시S11, 5000mAh '짐승용량' 배터리 달았다",http://news1.kr/articles/?3787397
ENTERPRISE,갤럭시,1,DAUM,1,갤럭시A51 추정사진 잇단 등장.. '아이폰 닮았네',http://v.media.daum.net/v/20191207081958754
ENTERPRISE,갤럭시,1,DAUM,2,"""갤럭시노트10 라이트, 헤드폰 잭 있네?""",http://v.media.daum.net/v/20191205085412773
ENTERPRISE,갤럭시,1,DAUM,3,"""보조배터리야?""..갤럭시S11, 5000mAh '짐승용량' 배터리 달았다",http://v.media.daum.net/v/20191207080035532
ENTERPRISE,갤럭시,1,DAUM,4,"삼성, 갤럭시 버즈에도 소음제거 기능 넣을까",http://v.media.daum.net/v/20191204144557404
ENTERPRISE,갤럭시,1,DAUM,5,"갤럭시S11 플러스, 5000㎃h 괴물 배터리 탑재될 듯",http://v.media.daum.net/v/20191206175102423
ENTERPRISE,갤럭시,1,Google,1,삼성 `갤럭시 폴드` 완판행렬…출시국 60개국으로 확대,https://www.hankyung.com/news/article/2019120146565
ENTERPRISE,갤럭시,1,Google,2,"갤럭시, '9년 연속' 브랜드 가치 1위… '유니클로' 탈락 위기",http://moneys.mt.co.kr/news/mwView.php?no=2019120814408069063&type=4&code=w0402&MTN
ENTERPRISE,갤럭시,1,Google,3,"""5G와 갤럭시 제품 체험해보세요""",https://m.sedaily.com/NewsView/1VRZT4AUED
ENTERPRISE,갤럭시,1,Google,4,"삼성전자도 참전…2019년 4분기, 갤럭시S10·노트9·LG G8 '가격 ...",http://www.etnews.com/20191206000117
ENTERPRISE,갤럭시,1,Google,5,갤럭시 S10 라이트와 노트10 라이트 유출 소식,https://byline.network/2019/12/06-17/
